,num,lyrics,mood
454,457,know evil know got aint much nothing mean lot living shoestring fifty cent millionaire open charity rock roller welfare sittin cadillac listenin radio suzie baby get tell want go im living nightmare shes looking like wet dream got cadillac cant afford gasoline got hole shoe im way overdue payment blue get steady job responsibility cant even feed cat social security hidin rent man oh make want cry sheriff knockin door aint funny time fly sittin sailin boat sippin champagne suzie baby sea say want come feelin like paper cup floatin storm drain got sailin boat cant afford drop rain got hole shoe im way overdue payment blue payment blue payment blue payment blue got hole shoe im way overdue got payment blue,angry
455,458,strange day colour shape sound head forget im there reason there sense im supposed feel forget forget fascist baby utopia utopia dog need new ear make eye see forever make live like fascist baby utopia utopia im wired world thats know everything im superbrain thats made fascist baby utopia utopia,relaxed
456,459,mommy told daddy told always think like never learned many feeling really copycateeateeatat school told church told memorize dont dare look theyre concerned make thought tape recorder mimicking bore youre boring boring boring always tape machine recording youre boring boring boring ive heard planless mindless scrap anywhere bunch used part garbage pail everywhere frankenstein became monster like scar show someone talk youre boring boring boring always tape machine recording youre boring boring boring ive heard ive heard ive heard emotion make monster emotion make monster emotion make monster emotion make monster,angry
457,460,amazed look see angel eye like dream come true blueand im love sometimes hard believe time leave never let go love love life im glad youre love life put arm around tell hear wish didnt go want let know always please dry tear never far love car see angel eye shine like sea never let go ill hold till snow might wanna know come snow drive away snow getting really thick turn around drive back arm sing love life wont let go love life even snow ill till go day ending wish could stop time since must give one last hug look eye onelasttime,relaxed
458,461,ive learnt lot turn much travelled across sea wept emotion run deep u friend time come u tired tired ship almost ran aground well lie rest ill dream emotion run deep good friend believe u ive heard ive heard said love real love end cup overflowing believe must believe must believe must believe,relaxed
459,462,woke morning knew world would test come unglued feel pain world make blood boil rip heart rip heart make look easy rip heart rip heart control deceive rip heart rip heart try everything please gone way like fool make break like bitch hard grow ditch rip heart rip heart make look easy rip heart rip heart control deceive rip heart rip heart rip heart rip heart make look easy rip heart rip heart control deceive rip heart rip heart,angry
460,463,look eye get feeling cant describe cant wrong feeling comin strong im wonderin feel good inside look eye tell mine send shiver runnin spine could love cause youre girl ive dreamin im wonderin feel good inside look eye look eye get alone much different telephone dont let go want hold like told im wonderin feel good inside look eye look eye,happy
461,464,hey frankenstein whats mind hey dracula heard suck vincent price dr phibes come steal brain fritz take dr frankenstein well knock wood wont good good cause hero dead hollywood hey norman bates rate hey leatherface remove face hey tall man take hand lead red planet youre dead dead hollywood dead youre dead dead hollywood dead thats wanna whoa dead hollywood whoa dead hollywood whoa dead hollywood whoa,angry
462,465,cant get satisfaction cant get satisfaction try try try tttry try cant get cant get im ridin car man come radio he tellin useless information supposed fire imagination cant get uh hey hey hey thats say cant get satisfaction cant get girly action try try try tttry try cant get cant get im watchin tv man come tell white shirt could cant man cause smoke cigarette cant get uh hey hey hey thats say im flyin around world im doin im tryin im tryin make girl tell baby baby baby baby better come back later next week cant see im losin streak cant get uh hey hey hey thats say cant get satisfaction cant get satisfaction cant get satisfaction cant get satisfaction cant get satisfaction cant get satisfaction satisfaction satisfaction satisfaction cant get satisfaction girl cant get satisfaction,angry
463,466,exploited barmy army dont fucking mess u exploited dont mess barmy army dont fight barmy army dont stare barmy army dont mess barmy army exploited dont mess barmy army dont fight barmy army dont stare barmy army dont mess barmy army,angry
464,467,somebody somebody lay head ive around world look love many soul wrong time searching vague elusive thing keep save ease sad sad mind belong anything need known id face world alone somebody somebody lay head somebody somebody lay head lying face away every pressure every day youll find clinging tightly stronger thought clearer picture friendly spot around could loved could happy known id take step alone somebody somebody lay head somebody somebody lay head there life beyond daily grind vision broken mind cant find fall heaven fall grace come shelter barren place refind search beauty search friendship search meaning known id walk world alone somebody somebody lay head somebody somebody lay head,sad
465,468,remember laid laid earth may wrong create trouble trouble thy breast remember remember ah forget fate remember ah forget fate,sad
466,469,may ambassador england france may like gamble might like dance may heavyweight champion world may socialite long string pearl youre going serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody might rock roll addict prancing stage might drug command woman cage may business man highdegree thief may call doctor may call chief youre going serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody may state trooper might young turk may head big tv network may rich poor may blind lame may living another country another name youre going serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody may construction worker working home may living mansion might live dome might gun might even tank might somebody landlord might even bank youre going serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody may preacher spiritual pride may city councilman taking bribe side may working barbershop may know cut hair may somebody mistress may somebody heir youre going serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody might like wear cotton might like wear silk might like drink whiskey might like drink milk might like eat caviar might like eat bread may sleeping floor sleeping kingsized bed youre going serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody may call terry may call timmy may call bobby may call zimmy may call rj may call ray may call anything matter say youre still gonna serve somebody yes indeed youre going serve somebody well may devil may lord youre going serve somebody,relaxed
467,470,ive around world ive got hit chart ive become quite famous aint got heart ive got expensive clothes lot money waste ive got luxury lifestyle aint got taste nothing going nothing going ive got whole lot nothing nothing going know right people ive got perfect smile ive got world best timing aint got style ive got great big mansion ive got beautiful wife ive got black roll royce ive got life nothing going nothing going ive got whole lot nothing nothing going nothing going nothing going right nothing going wrong ive got whole lot nothing nothing going nothing going nothing going ive got whole lot nothing nothing going ive got personal trainer ride limousine ive got big bank account aint got dream ive got private plane best everything ive got lifestyle live message sing nothing going nothing going ive got whole lot nothing nothing going nothing going nothing going right nothing going wrong ive got whole lot nothing nothing going nothing going nothing going ive got whole lot nothing nothing going nothing going nothing going,angry
468,471,therell come time know feel im dancing inside know real sound there magic air youve got let let show really care sweet sweet sweet love need sweet sweet love alright something dream youve heaven could find deep inside know feel way need live without sweeter love found come take look around there sweeter love take take youve got nothing guilty sweeter love let let come take look around there sweeter love take take youve got nothing guilty sweeter love let let,relaxed
469,472,come go feeling take home dont know im goin let flow wanted taste enough waste day enough make sick let flow take time lay back make feel like im child let flow let flow come go hit take home dont know im goin dont know ive id wanted taste enough waste day enough make sick cant get much,relaxed
470,473,said cover fire cause want burn first screamed want desired said easy girl know hurt let give thanks liar cause ive got feeling might get worse there nothing wrong im tired im mood brand new curse burn first burn first burn first burn first cover fire cause want burn first screamed want desired easy girl know hurt let give thanks liar cause ive got feeling might get worse there nothing wrong grow tired im mood brand new curse,angry
471,474,dirty mack there new girl street imma introduce meat told homeboy scoping hoping crack leg wide open ready break thang half hit shaft take bath im yeah better keep trojan sex good still ho friend fucked around told plan man sitting next god damn man know son niggro would run tell big fat grin talking bout hoe ran broke nigga plan like dish cuz bitch getting suspicious know fuck hoe outa habit framed cube mothafuck roger rabbit cuz couldnt got stabbed back black as dirty mack didnt know like got big fat gat dirty mack yeah nigga didnt know like got big fat gat dirty mack go billboard pull see im still bullet fuck see look like predator gettin dissed editor look vanilla wafer caper lynch nigga paper im much black god damn cracker huh dirty macker even guardian angel got mental never seen as walking south central little superhero dont let catch ya fuck around wetcha try dirty mack try take food kid mouth youre lucky people stronger evil as would got heaveho tag still toe act like know nigga thats known jack devil little red hat motherfuckin dirty mack didnt know like got big fat gat dirty mack yeah nigga didnt know like got big fat gat dirty mack dont come og way say say bitch hit freeway dirty mack get tossed cuz fuck around jump as like kris kross might blast snake grass get shank as found trunk funk pale stiff philly blunt want done fucked plot deserve got cuz im hotter tobasco little as ho gotta like glass joe tko see fall canvas cause scandalous dont know man ice cubea jack wack as dirt mack didnt know like got big fat gat dirty mack yo savage didnt know like got big fat gat dirty mack suppose dont know like got big fat gat dirty mack,angry
472,475,yeah thats right time set record straight aint nobody got spell said aint nobody got yell see said aint nobody got pay hear ill yell ear time livin time givin time livin time givin time livin time givin time livin time givin check aint nobody got spell said aint nobody got yell see said aint nobody got pay hear ill yell ear soul fire soul fire aint got water dont got water time livin time givin time makin monster sell time livin time givin time makin monster sell,angry
473,476,sinister state hope summer night bring cold someway let happen flash flash star hope shining night brought cold want want state hope want summer night hope something couldnt turn let happen hand hand someway let happen flash flash want want state hope want state hope,relaxed
474,477,make everything alright hold squeeze tight make everything alright hold squeeze tight make everything alright hold squeeze tight make everything alright hold squeeze tight make feel nice im around wake mornin spend whole life sweetness smile help away fear go wrong life come tear iv never deep anyone else place within heart never close want hang around ill never let go ill give time stick around sure make everything alright hold squeeze tight make everything alright hold squeeze tight make everything alright hold squeeze tight make everything alright hold squeeze tight come true ima give heart keep safe arm like know want give much joy call mine oh work well see give time go right looking bird eye view ill see life made good time spent ill give anything everything work fine trust give peace mind cause want need cause want cause want need co want take hand im man im man im co make everything alright hold squeeze tight co make everything alright hold squeeze tight co make everything alright hold squeeze tight co make everything alright hold squeeze tight ill anything youll anything ill anything keep telling keep using ill anything youll anything ill anything keep using keep using ill anything youll anything ill anything keep telling keep using,happy
475,478,need someone person talk someone whod care love could could situation get rough start panic enough habit hey kid youre sick well darling kiss air behind back see stare theyll hurt bad wont mind theyll hurt bad time yeah time time time time time hope know go permanent record oh yeah well dont get distressed happen mention im impressed take cause left family heartache headache lonely sorrow nnnnno tomorrow forget lost god everything everything everything everything well kiss air behind back see stare theyll hurt bad wont mind theyll hurt bad time yeah time yeah time time time time time time time ttime time time time time time time time time time time time time time time,angry
476,479,end day im called go open arm holy ghost lived life known fortune follows im brave great mistake surely pay im running low devil trail fate delivers ill ask place rest shelter soul oh could spend day free prison gate could die happy man oh could spend day free shadow name could die happy man released mortal load ill take leave dont wanna go fate delivers ill ask place rest shelter soul,sad
477,480,high manhattan town float shape like fan like u watch sky know morph cat gliding like big blue cloud tompkins square upper broadway beyond park sugar hill stop minute latte ooze heating duct swim like seaweed hall briefly dig wiggy pad seeps wall kind like arctic mindbath cool sweet slightly rough liquid light new york city like christmas without chintzy stuff exactly want rabelaisian puff smoke make feel warm cozy like heard good joke like heard arlen tune bought crazy hat like mango cooler ooh morph cat he talk shop schoolyard sultan place automat player playin da bronx respect morph cat kind like arctic mindbath cool sweet slightly rough liquid light new york city christmas without chintzy stuff rich charisma almost hear sing skim roof bell begin ring chinese cashier feel grand old gal evening mass young racketeer teenage model laughing grass blessed yankee ally feline come bat bringing joy old manhattan watch sky morph cat,relaxed
478,481,right aint got one else situation bleeding there relief person like depression got hold depression gotta break free depression got hold depression gonna kill aint got friend call sit alone there girl want touch dont need goddamn sympathy depression got hold depression gotta break free depression got hold depression gonna kill everybody get away im gonna boil inside today say thing gonna get better know fuckin better depression got hold depression gotta break free depression got hold depression gonna kill depression got hold depression gotta break free depression got hold depression gonna kill,angry
479,482,go searchin oneway street hopin chance meet waitin operator line dont know im gonna gotta get back gotta slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way many day go thinkin bout lonely night communication breakdown around dont know im gonna gotta get back gotta slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way ive livin dead end street ive askin everybody meet insufficient data coming dont know im gonna gotta get back oh slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way slow sweet talkin woman got runnin got searchin hold sweet talkin lover sad thats way,happy
480,483,thats right pleased meet still wont tell name dont believe mystery dont want play game im lookin man love like ive never loved im lookin man thatll anywhere even limousine floor cause tonight im livin fantasy little nasty world tonight dont wanna come think im nasty girl tonight im livin fantasy little nasty world tonight dont want come think im nasty girl guess im used sailor think got water brain think got water upstairs got sugar candy cane thats right long time since man real good aint scared take ill like real live nasty girl tonight im livin fantasy world little nasty world tonight dont want come think im nasty girl tonight im livin fantasy little nasty world tonight dont want come think im nasty girl tonight im livin fantasy world little nasty world tonight dont want come think im nasty girl tonight im livin fantasy little nasty world tonight dont want come think im nasty girl please please please please nasty girl think im nasty girl nasty girl think im nasty girl nasty girl think im nasty girl nasty girl think im nasty girl oh oh nasty girl think im nasty girl oh dont like groove try give something croon catch drift thatll work thats right cant control need seven inch tonight longer hold get get cant wait anymore uh time jam dance nasty girl dance everybody uh time jam nasty girl dance dance dance everybody uh time jam nasty girl dance dance dance uh time jam nasty girl dance dance dance uh time jam nasty girl dance dance dance uh time jam nasty girl dance dance dance uh time jam nasty girl dance dance dance uh time jam nasty girl dance dance dance uh mmm wake youre done guess youll one fun,happy
481,484,build brand new planet let reconstruct get straight unlock forgotten skill travel new dimension solace dark seduction new invention settler year zero let reconstruct take back leader time heading downfall threshold revolution last freedom call blanked fire etched crystal display sea deep better swim dont go numb collect word add gold give back sea deep better swim dont go numb thousand branch spreading new voice heading throne connect evolution begin leader time heading downfall threshold revolution last freedom call blanked fire etched crystal display sea deep better swim dont go numb,happy
482,485,wanna go back dixie take back dear ol dixie thats lil ol place lil ol ol time forgotten whuppin slave sellin cotton waitin robert lee ill go back swanee pellagra make scrawny honeysuckle clutter vine really afixin go home start amixin masondixon line oh poll tax love ya love ya dear old poll tax wontcha come alabammy back arm dear ol mammy cookins lousy hand clammy hell home yes paradise southland nominee jes give ham hock grit hominy wanna go back dixie wanna dixie pixie eat cornpone til comin outta ear wanna talk southern gentleman put white sheet aint seen one good lynchin year land boll weevil law medieval callin come nevermore roam wanna go back southland yall shetmamouth land ever decadent there place like home,happy
483,486,light leaving west blue childrens laughter sang skipping like stone threw voice echoed across wave getting late another night sunset moonrise far behind give u enough light lay underneath star listen papa translation story across sky drew constellation west wind often last long calm nothing ever feel sheltered kamani tree waiting passing rain cloud keep moving uncover sea star u chasing day away find story sometimes need listen close enough else fade fade away another night sunset moonrise far behind give u enough light lay underneath star listen translation story across sky drew constellation,relaxed
484,487,bright bright bright,sad
485,488,little girl lady give birth today run room right away smile glee hand look newborn say damn thats ugly baby damn thats ugly as baby im feeling quite concerned semen mustve turned cause damn thats ugly baby cant believe came think mom much lsd shes skinny like twig least nut big placenta cuter damn thats ugly baby god damn thats ugly as baby cant take home today shell scare dog away cause damn thats ugly baby smile find shane mcgowan come mind make want cry look good eye always wanted kid wrong hope sids fuck fucking baby doctor call mr lynch twin damn thats good looking baby one two good looking baby almost start weep one keep cause ugly as damn thats ugly baby damn thats ugly ba sing fucker cmon damn thats ugly baby woooh damn thats ugly baby shes got one good tooth one ear one eye thank god one nose left thigh doctor im asking guy guy would really really really late term abortion still fly oh baby dont want ugly baby said damn thats ugly baby damn thats ugly as baby thank good night,happy
486,489,hey dudeitz true sad take thrash song make better remembah metal iz heart start fretter hey dudedont fuckin fraid made go shredder minute let u skin youll begin fretter crank amp deal pain hey dudeyoure fuckin insane riverz run red blood poseur dont know hez fool playz cool needz hiz beer much colder hey dudenevah turn must pound mean kip winger new wave british heavy metal iz heart start diamond headerz let let hey dude begin dont wait eye beholder youll never know bellz toll hey dude youll sling flyingv cross shoulder hey dudeitz true sad take thrash song make better admit metallicaz skin begin shredder,happy
487,490,palestina nice girl liked travel sample world palestina first hand view life palestina young age saw oppression felt rage palestina want cage fight life short sweet palestina told family friend shed back take revenge palestina made mind die palestina belt death explosive strapped chest palestina martyr sky life short sweet bye life short sweet life short sweet,angry
488,491,he good crowd get alone youd surprised isnt much dance take home youd surprised doesnt look like much lover dont judge book cover cause he got face angel there devil eye he delicate thing he starting squeeze youd surprised doesnt look strong sit knee youd surprised party ball ive got admit he nothing morris chair youd surprised doesnt say much he starting speak youd surprised he good start end week youd surprised streetcar train youd think born without brain taxi cab start grab say taxi cab youd surprised one real danger,happy
489,492,hard talk people remember say guess need amnesiac priest something stranger long bus journey somewhere far away one day desert cover earth wind sing silence secret buried forever blown dust seems simple dont get meant said time said nothing ever meant last want mirror want shadow want folly echo tie hold fast nobody conscience clean loyalty end enough family thicker blood way grew together root twisted together everybody think shouldnt think everybody shouldnt everybody want shouldnt want hold ill hold maybe im wrong dont get meant said time said nothing ever meant last want mirror want shadow want folly echo tie hold fast spread mischief little glint eye war like bring peace peace want bring war seduce priest break dont ask remember seems simple dont get,sad
490,493,ready frizzy hair metaphor festival time woman goddess festival shrine met jam garden sort must confess god bless impure thought show u money call night money could bought even piece pride might sea people dont know could see woman glowed pleasure meet look like one incredible creature wanna treat fine let dance grind get funkinflicted crime youre divine youre sublime well blow mind youre sly caterpillar good greek go killa break enter take ya like glass milk saw coming scene mean got sex coffee bean taste like vanilla well alright ignite hit floor like vroom super commodore make good story well worthwhile like dealing story sprinkler style sly pleasure meet look like one incredible creature wanna treat fine let dance grind get funkinflicted crime youre divine youre sublime well blow mind youre sly oh louis jajajaja jenni boomshak hitthesack backseat feeling alright feeling alright mcshuffle rock fine stride late checkout donotdisturb sign outside sly pleasure meet look like one incredible creature wanna treat fine let dance grind get funkinflicted crime youre divine youre sublime well blow mind youre sly youre sly hey,happy
491,494,monkey come powdered form add water monkey born monkey living sea monkey trick seamonkeys coming theyre watching everything seamonkeys coming better run monkey swimming around monkey wearing tiny crown building castle monkey overthrowing seamonkeys coming theyre watching everything seamonkeys coming better run,relaxed
492,495,bim ar thoir comhartha scaoileas manam saor caithfidh mo chroi bheith glan roimh siochan theacht crum ni leanfaidh brn bim ssta le mo ghr gum comhartha chabhreoidh liom chomhlonadh bim ar thoir comhartha scaoileas manam saor caithfidh mo chroi bheith glan roimh siochan theacht crum ghaoth ghuth bhisteach dheora grian chro ar la spiorad mo shln english translation search sign set soul free heart must pure find peace grief cannot last forever love fulfilled pray sign help search sign set soul free soul must pure find peace wind voice rain tear burning heart spirit salvation,relaxed
493,496,thought sometime alone really needed said time would hurt help couldnt see thought end beautiful story left one loved home alone tried find one thing true im nothing without know better ive change heart id rather bad time good time someone else id rather beside storm safe warm id rather hard time together easy apart id rather one hold heart whoooooooo yeah met someone thought could replace got long fine wasted time lot fun though knew faking love impressed connection lie lie im cause found one thing true im nothing without know better ive change heart id rather bad time good time someone else id rather beside storm safe warm id rather hard time together easy apart id rather one hold heart hold heart cant blame turn away like ive done prove thing say time please mine id rather bad time good time someone else id rather beside storm safe warm id rather hard time gether easy apart id rather one hold heart id rather bad time good time someone else id rather beside storm safe warm id rather hard time together easy apart id rather one hold heart id rather one hold heart id rather one hold heart whoooowho hold heart,relaxed
494,497,jurarei eterno amor saudades vida inteira ao nascer sol pomar da laranjeiras se dia vier voltarei de qualquer maneira para te ver pomar da laranjeiras grande meu amor foi assim logo primeira ser maior pomar da laranjeiras,sad
495,498,dont want political energy constant apology instrument hurt hammer coming pound pound pound door closet greedy love here gift accept accept thats accept accept confused twilight sings look like diamond ring jewel hour brings throw shadow park dont wanna waste time take isnt mine dont fix cause im broken way start here gift accept accept thats accept here gift accept accept thats accept accept,sad
496,499,see headless caressing neck personal nightfall eclipse sunflower feel invisible unknown coffin dust illegible tombstone finally buried gravedigger sky need shower amber bathe earth everyone quickly hushed took step back jennifer rose stood girl examining handiwork partner laid motionless beneath seemingly dead eye socket dry empty heel elbow scraped bloodied onlooker gasped horror swooned fainted melodramatically stared disbelief jennifer reached thigh pulled crotch bathing suit side exposing vagina girl slowly sat began sliding finger jennifer minute later wrist elbow eventually would completely disappear womb jennifer tilted head side curiously heard sound ricketywooden rollercoaster distance passenger screaming mock terror knew sooner later would realize ride wasnt stopping going die,angry
497,500,baby understand sometimes see get little mad dont know one alive always angel every thing go wrong seem bad girl im soul whose intention good oh lord please dont let misunderstood dont let drown dont bring baby baby sometimes get carefree joy thats hard hide seems like well ive got worry yeah turn round show side im soul whose intention good oh lord please dont let misunderstood get edgy baby want know never mean take yeah everybodys got problem share one thing never mean baby dont know love ive never thought woman sometimes find alone regretting yeah foolish thing simple thing ive done baby im soul whose intention good oh lord please dont let misunderstood dont let drown dont bring oh yeah get edgy baby want know never mean take yeah everybodys got problem got share one thing never meant baby darkest hour came along guide put finger tip upon forehead begging stay dont run away stay beside girl im soul whose intention good oh lord please dont let misunderstood let dont let drown baby oh im soul whose intention good oh lord dont let misunderstood im beggin baby yeah im soul whose intention good oh lord please dont let misunderstood yeah oh baby oh babe please dont let drown girl please dont let,angry
498,501,mount kailas uncover come restoration wash body clean ive walking along crooked path wall fallen broken half im telling rest till lay head im gonna go house stone light shall cry blind man leave behind got house stone light house stone light holy lady show soul tell place must surely go old man waiting gate give wisdom give key im telling rest till lay head house stone light make way gonna beautiful day house stone light house stone light let beneath skin house stone light long spirit war havasupai shaman let reborn embrace sun upon face come day awake child inside house stone light go opopopen eye house stone light see house stone light im looking beneath skin house stone light,relaxed
499,502,beat repeat beating every car street constant repeat repeat paranoid heartbreaking beat repeat five song repeat beating favorite band help sleep come new stylish creep every car street repeat repeat repeat dont tell nobody really want tell everybody else really want youre fucked act like go tell everybody else youre really great people youre enfranchised entranced youre enfranchised entrenched know real life compromise beat halfassed streak beating well im drinking weak helping sleep wish could complain rich child would run street come every show one want wish could complain rich child would flee school come every show drugged unwashed wish could complain rich child would line street come every show unwashed drugged beat repeat beating radio radio radio radio radio radio beat repeat beating beat repeat beating,happy
500,503,frisch verbraucht bunt und grau seh ich dich wieder und wieder schnellen zeiten auf den wolken alles dreht sich nur du stehst still wenn wir ber den park fliegen auf dem wasser auch ufer unter bumen unserer kindheit der wind meinem bauch mus ein sturm sein denn fhlt e sich wenn du neben mir stehst wir verschwinden im ersten licht de morgen du gehst deiner wege ich nehm meinen lauf im warten darauf da jemand kommt um mich zu halten wenn ich denk das e weit ist tuts nicht mehr weh wenn sie e nicht ist frisch verbraucht bunt und grau seh ich dich wieder und wieder schnellen zeiten auf den wolken alles dreht sich nur du stehst still ich nehm meinen lauf im warten darauf da jemand kommt um mich zu halten wenn ich denk das e weit ist tuts nicht mehr weh wenn sie e nicht ist e fllt au dem nichts auf weil e der xte versuch war lass e beim nchsten mal gleich sein denk ich und finde mich wieder im warten,sad
501,504,feel ground slipping away like sigh greets close day feel water welcoming arm embrace quiet karma cant hear say anymore sound tree ocean floor irresistibly drawn shore im drowning eye im floating sea helpless restless tide flow moving slowly dream color change blue green around reflection forest deep im passing swell storm one dancing morning sun could weve begun im drowning eye im floating sea helpless restless tide flow im drowning eye im floating sea helpless restless tide flow lying beside try reach youre far im drowning eye im floating sea helpless restless tide flow im drowning eye im floating sea helpless restless tide flow im drowning eye im drowning eye im drowning eye,relaxed
502,505,die live day could lose sight matter trying love cannot love u back worth living know let go life cling tight afraid take u fading sentiment die die live another day die live another day die live another day life cling tight afraid take u fading sentiment could lose sight matter trying love cannot love u back worth living know let go could lose sight matter trying love cannot love u back worth living know let go,angry
503,506,hey want go devil gate drive well come welcome dive well age five jive devil gate drive age six theyre gonna get kick devil gate drive well mama dont know sister done go gone drive shes star show let move let come let go jive devil gate drive come alive come alive devil gate drive come alive come alive devil gate devil gate devil gate drive devil gate devil gate devil gate drive reach teen thats get mean devil gate drive sweet sixteen jukebox queen devil gate drive led angel pack road sin knock gate let let dont mess round cause know ive dive devil gate drive come alive come alive devil gate drive come alive come alive devil gate devil gate devil gate drive devil gate devil gate devil gate drive ooh come alive come alive come alive na na ooh well mama dont know sister done go gone drive shes star show let move let come let go jive devil gate drive come alive come alive devil gate drive come alive come alive devil gate devil gate devil gate drive devil gate devil gate devil gate drive come boy let one time suzi ready come alive come alive yeah yeah yeah yeah,happy
504,507,wenn sie brust schwimmt ist da schn dann kann ich ihr zentrum sehn nicht das die brust da schne wr ich schwimm ihr einfach hinterher funkenstaub fliet au der mitte ein feuerwerk springt au dem schritt feuer und wasser kommt nicht zusammen kann man nicht binden sind nicht verwandt funken versunken steh ich flammen und bin im wasser verbrannt im wasser verbrannt wenn sie nackt schwimmt ist da schn dann ich sie von hinten sehn nicht das die brste reizvoll wren die beine ffnen sich wie scheren dann leuchtet hei au dem versteck die flamme au dem schenkeleck ja sie schwimmt vorbei bemerkt mich nicht ich bin ihr schatten sie steht im licht da ist keine hoffnung und keine zuversicht denn feuer und wasser kommt nicht zusammen kann man nicht binden sind nicht verwandt funken versunken steh ich flammen und bin im wasser verbrannt im wasser verbrannt kocht da blut meinen lenden ich halt sie fest mit nassen hnden glatt wie ein fisch und kalt wie eis sie wird sich nicht mich verschwenden ich wei feuer und wasser kommt nie zusammen kann man nicht binden sind nicht verwandt funken versunken steh ich flammen und bin im wasser verbrannt,sad
505,508,must say love start gave tune sing guess youll never know cause thing meant stay unrevealed heard song radio sung ear youre lost though know direction heart take look whats behind scene hill tree climbed know someone awaits return,happy
506,509,mass hand press market window ghost progress dressed slow death feeding hunger glaring promise upon food rot slowly aisle mass nameless oasis hide graf beneath master hill buried drinking river water shackled line empty well new sound like old sound like noose wound new ground new sound like old sound like noose wound new ground listen fascist sing take hope war elsewhere chosen god land soon well free blot mixture seed planted forefather hand mass promise begin rupture like pocket new world king like swollen stomach appalachia like priest fucked whispered holy thing mass tear transformed stone sharpened suffering woven sling hope lie rubble rich fortress taking today tomorrow never brings new sound like old sound like noose wound new ground new sound like old sound like noose wound new ground new sound like old sound like noose wound new ground aint new sound like old sound look noose burning ground aint funny factory door close round time school door close round time door jail cell open greet like reaper aint funny factory door close round time school door close round time hundred thousand jail cell open greet like reaper oasis oasis new sound like old sound like noose wound new ground new sound like old sound like noose wound new ground like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall like ash fall,angry
507,510,pool party baby cool party cool pool party la la la la pool party baby cool party cool pool party la la la la popcorn hot dog bun hamburger patty food need feed many hungry million people want party invite youre list baby pool rip cleaned yesterday girl look cute swimming suit holy guacamole weve got chip come take dip cause pool rip pool party cool kid school pool party cool kid school cool pool cool pool cool pool cool pool yeah yeah yeah pool party baby cool party cool pool party la la la la pool party baby ratio girl guy five one hasnt party like since come party let game begin weve even got floaties cant swim pool rip cleaned yesterday girl look cute swimming suit holy guacamole weve got chip come take dip cause pool rip pool party cool kid school pool party cool kid school cool pool cool pool cool pool cool pool yeah yeah yeah love girl know true super party swimming pool jump see fun pool party dont eat much swim cause might get cramp chin someone screaming thats cool threw reggie bar pool ronnie sally bobby mike pool party well like pool party cool kid school pool party cool kid school cool pool cool pool cool pool cool pool there pool school there school pool there pool school cool pool yeah yeah yeah,happy
508,511,whoo somebody love guess always knew id find someone like doggone sweet true oh oh youre reason ill love till day die oh honey please cant ya see saved cant ya see gave cant ya see made yeah honey please cant ya see honey cant ya see gave yeah yeah yeah honey please cant ya see saved cant ya see made cant ya see gave honey please cant ya see saved cant ya see made cant ya see oh honey please yeah yeah yeah yeah time ive lost world without end till day came life made right oh girl oh oh honey please thats gave thats made thats saved honey please thats gave thats made honey thats gave yeah honey please thats made thats gave thats saved yeah aww yeah yeah aww yeah yeah yeah baby baby,happy
509,512,saw today saw face face loved knew run away get knee prayay theyd go away still begin needle pin needle pin needle pin heard somebody fixed today last goodbye say live ran heard somebody turned dust looking back left list plan photograph song never sung thing wont get done thing wont get done ive seen man use needle seen needle use man ive seen crawl cradle gutter hand fight war fatal hard understand ive seen man use needle seen needle use man one shot say goodbye one last taste mourn cry score shoot light go dim one shot hang head wonder monkey lie lie lie pay pauper choose hung head inside noose hung head inside noose oh ive seen man use needle seen needle use man ive seen crawl cradle coffin hand fight war fatal hard understand ive seen man use needle seen needle use man cryptic writing wall beginning end ive seen use needle seen needle hand ive seen man use needle seen needle use man ive seen crawl cradle coffin hand fight war fatal hard understand ive seen use needle seen needle hand hand hand hand,angry
510,513,he half love elizabeth he half love thing painful say loud well live behind veil see shroud word fly mouth like paper butterfly flutter around burn hole side he half love elizabeth he half love knew thinking last night cause saw blood seep toe turn away must put trust man always sleep clothes he half love elizabeth he half love yes he half love elizabeth he half love youre sweet scent envelope folded photo purse pin hope back dear im afraid bubble burst bubble burst he half love elizabeth he half love,happy
